Run_Date,Account,Currency,Flow_ID,Flow_Name,Message_ID,Message_Name,Message_Channel,Status,Total_Recipients,Unique_Opens,Unique_Clicks,Unique_Unsubscribes,Unique_Placed_Order,Total_Placed_Order,Total_Placed_Order_Value,Tags,Message_Status,_weld_synced
2024-07-01T00:00:00,Vitalis UK,GBP,FL001,Welcome Series,WS-Email1,Welcome Email 1 - Intro & 10% Off,email,live,194,108,23,0,7,7,359.09,welcome-series,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL002,Welcome Series,WS-Email2,Welcome Email 2 - Bestsellers,email,live,191,95,24,0,7,7,362.15,welcome-series,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL003,Welcome Series,WS-Email3,Welcome Email 3 - Reviews & Trust,email,live,187,98,25,1,7,8,360.27,welcome-series,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL004,Post-Purchase,PP-Email1,Order Confirmation + Cross-sell,email,live,156,86,10,0,2,2,93.87,post-purchase,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL005,Post-Purchase,PP-Email2,How to Use Your Product,email,live,165,100,11,1,2,2,105.2,post-purchase,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL006,Post-Purchase,PP-Email3,Review Request (14 days),email,live,138,85,11,0,1,1,54.24,post-purchase,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL007,Browse Abandonment,BA-Email1,Still Interested?,email,live,232,84,14,1,3,3,112.1,browse-abandonment,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL008,Cart Abandonment,CA-Email1,You Left Something Behind,email,live,125,52,13,0,6,6,258.71,cart-abandonment,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL009,Cart Abandonment,CA-Email2,Last Chance + Free Shipping,email,live,111,46,11,0,4,4,171.52,cart-abandonment,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL010,Win-Back,WB-Email1,We Miss You (60 days),email,live,205,57,9,1,1,1,35.74,win-back,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL011,Win-Back,WB-Email2,15% Off to Come Back (90 days),email,live,193,51,8,1,1,1,45.42,win-back,active,2024-07-02T00:00:00
2024-07-01T00:00:00,Vitalis UK,GBP,FL012,Replenishment,RP-Email1,Time to Restock? (30 days),email,live,83,32,8,0,2,2,86.62,replenishment,active,2024-07-02T00:00:00
2024-07-08T00:00:00,Vitalis UK,GBP,FL001,Welcome Series,WS-Email1,Welcome Email 1 - Intro & 10% Off,email,live,170,83,18,0,5,5,163.82,welcome-series,active,2024-07-09T00:00:00
2024-07-08T00:00:00,Vitalis UK,GBP,FL002,Welcome Series,WS-Email2,Welcome Email 2 - Bestsellers,email,live,169,82,19,0,7,7,312.13,welcome-series,active,2024-07-09T00:00:00
