campaign_id,campaign_name,account_id,account_descriptive_name,date,impressions,clicks,cost_micros,conversions,conversions_value,device,ad_network_type,_weld_synced
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-01,3460,165,23790000,15.0,680.56,TABLET,SEARCH,2024-07-02T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-01,7751,458,56910000,11.5,519.64,DESKTOP,SEARCH,2024-07-02T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-01,5122,257,51690000,5.9,259.11,TABLET,SEARCH,2024-07-02T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-01,2983,199,47980000,6.3,231.28,DESKTOP,SEARCH_PARTNERS,2024-07-02T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-01,6723,384,64660000,12.5,702.01,TABLET,SEARCH,2024-07-02T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-02,2315,73,30690000,4.2,211.17,MOBILE,SEARCH,2024-07-03T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-02,4484,210,50510000,5.0,249.03,MOBILE,SEARCH,2024-07-03T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-02,5001,229,66349999,5.3,198.99,MOBILE,SEARCH,2024-07-03T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-02,4663,268,50170000,9.2,325.4,MOBILE,SEARCH_PARTNERS,2024-07-03T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-02,4371,198,66640000,5.2,306.58,TABLET,SEARCH,2024-07-03T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-03,2978,202,25060000,18.5,730.7,TABLET,SEARCH,2024-07-04T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-03,6988,274,61590000,5.5,257.18,MOBILE,SEARCH,2024-07-04T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-03,3797,255,52810000,6.9,414.83,TABLET,SEARCH,2024-07-04T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-03,4436,190,38370000,7.7,371.04,DESKTOP,SEARCH_PARTNERS,2024-07-04T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-03,6506,401,63360000,11.1,577.56,DESKTOP,SEARCH,2024-07-04T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-04,2194,84,22770000,7.1,440.43,TABLET,SEARCH,2024-07-05T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-04,7418,420,54500000,11.3,551.42,TABLET,SEARCH,2024-07-05T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-04,6700,412,56920000,9.8,438.98,MOBILE,SEARCH,2024-07-05T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-04,4274,258,41000000,9.2,588.56,MOBILE,SEARCH_PARTNERS,2024-07-05T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-04,9273,459,68630000,15.4,798.19,TABLET,SEARCH,2024-07-05T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-05,2784,171,25990000,13.8,610.02,DESKTOP,SEARCH,2024-07-06T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-05,5240,165,60730000,4.4,199.52,MOBILE,SEARCH,2024-07-06T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-05,6263,213,64069999,5.4,337.98,DESKTOP,SEARCH,2024-07-06T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-05,3298,169,44530000,4.8,215.98,TABLET,SEARCH_PARTNERS,2024-07-06T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-05,5267,256,72980000,5.5,309.7,MOBILE,SEARCH,2024-07-06T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-06,2374,127,26490000,10.2,396.05,DESKTOP,SEARCH,2024-07-07T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-06,8424,566,60690000,10.7,476.82,DESKTOP,SEARCH,2024-07-07T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-06,4327,138,65550000,3.9,221.47,DESKTOP,SEARCH,2024-07-07T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-06,3091,195,46240000,6.0,241.78,MOBILE,SEARCH_PARTNERS,2024-07-07T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-06,6831,249,74580000,8.8,458.43,TABLET,SEARCH,2024-07-07T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-07,2494,157,25350000,12.4,649.52,MOBILE,SEARCH,2024-07-08T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-07,4017,207,60570000,5.1,219.48,MOBILE,SEARCH,2024-07-08T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-07,5511,298,59400000,7.2,346.37,TABLET,SEARCH,2024-07-08T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-07,4278,190,46340000,5.4,191.84,MOBILE,SEARCH_PARTNERS,2024-07-08T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-07,5361,345,62990000,10.8,390.44,DESKTOP,SEARCH,2024-07-08T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-08,2528,95,25920000,6.7,379.5,MOBILE,SEARCH,2024-07-09T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-08,6670,420,59310000,13.1,738.4,DESKTOP,SEARCH,2024-07-09T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-08,8837,427,60480000,8.5,420.6,DESKTOP,SEARCH,2024-07-09T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-08,5262,268,53700000,8.3,505.15,TABLET,SEARCH_PARTNERS,2024-07-09T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-08,7991,553,62330000,17.2,702.28,DESKTOP,SEARCH,2024-07-09T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-09,3280,191,33090000,12.9,831.18,TABLET,SEARCH,2024-07-10T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-09,6665,458,53320000,10.7,460.56,MOBILE,SEARCH,2024-07-10T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-09,8567,281,60290000,8.2,449.87,DESKTOP,SEARCH,2024-07-10T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-09,4087,283,42940000,9.6,388.67,TABLET,SEARCH_PARTNERS,2024-07-10T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-09,9140,582,64330000,15.9,901.76,DESKTOP,SEARCH,2024-07-10T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-10,3096,200,25460000,12.2,755.96,MOBILE,SEARCH,2024-07-11T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-10,3746,134,54260000,3.3,123.63,TABLET,SEARCH,2024-07-11T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-10,7884,288,64640000,5.5,244.47,DESKTOP,SEARCH,2024-07-11T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-10,3303,187,49470000,6.4,278.82,MOBILE,SEARCH_PARTNERS,2024-07-11T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-10,6073,236,63180000,8.0,377.48,MOBILE,SEARCH,2024-07-11T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-11,3358,159,24850000,14.2,710.69,MOBILE,SEARCH,2024-07-12T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-11,5719,313,54460000,7.0,302.37,TABLET,SEARCH,2024-07-12T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-11,7817,269,58790000,7.8,488.25,MOBILE,SEARCH,2024-07-12T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-11,3964,233,44210000,10.4,668.84,TABLET,SEARCH_PARTNERS,2024-07-12T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-11,6295,216,60120000,6.7,301.1,TABLET,SEARCH,2024-07-12T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-12,2093,102,25600000,6.8,325.29,DESKTOP,SEARCH,2024-07-13T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-12,3893,217,52800000,4.7,227.35,DESKTOP,SEARCH,2024-07-13T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-12,3959,145,51020000,2.7,148.15,MOBILE,SEARCH,2024-07-13T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-12,6679,458,56020000,16.4,635.63,TABLET,SEARCH_PARTNERS,2024-07-13T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-12,7550,470,69010000,12.0,737.28,DESKTOP,SEARCH,2024-07-13T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-13,2858,159,22760000,12.5,580.03,TABLET,SEARCH,2024-07-14T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-13,6678,236,45870000,6.3,374.67,TABLET,SEARCH,2024-07-14T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-13,6839,423,47230000,8.5,406.91,DESKTOP,SEARCH,2024-07-14T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-13,3652,129,50250000,4.0,224.99,MOBILE,SEARCH_PARTNERS,2024-07-14T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-13,7297,372,61020000,9.2,327.54,DESKTOP,SEARCH,2024-07-14T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-14,2717,173,32229999,17.7,772.32,DESKTOP,SEARCH,2024-07-15T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-14,7229,275,58120000,7.4,291.95,DESKTOP,SEARCH,2024-07-15T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-14,6473,271,53150000,5.5,221.8,MOBILE,SEARCH,2024-07-15T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-14,5314,310,52930000,9.2,592.97,MOBILE,SEARCH_PARTNERS,2024-07-15T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-14,9410,636,73630000,14.3,872.17,TABLET,SEARCH,2024-07-15T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-15,4099,252,28180000,18.1,869.67,MOBILE,SEARCH,2024-07-16T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-15,5232,159,62500000,2.9,178.91,DESKTOP,SEARCH,2024-07-16T00:00:00
