campaign_id,campaign_name,account_id,account_name,account_currency,date,impressions,clicks,spend,cpc,cpm,ctr,reach,frequency,_weld_synced
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-01,9095,180,78.04,0.43,8.58,1.9872,6734,1.35,2024-07-02T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-01,7946,151,68.91,0.46,8.67,1.9046,7398,1.07,2024-07-02T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-01,3735,141,35.88,0.25,9.61,3.7902,2677,1.4,2024-07-02T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-01,4435,171,44.39,0.26,10.01,3.8605,3390,1.31,2024-07-02T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-01,6797,107,71.12,0.66,10.46,1.5835,5196,1.31,2024-07-02T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-01,3135,119,35.02,0.29,11.17,3.8197,2282,1.37,2024-07-02T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-02,9841,168,82.96,0.49,8.43,1.7135,7145,1.38,2024-07-03T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-02,7567,122,77.9,0.64,10.29,1.6176,6424,1.18,2024-07-03T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-02,4798,175,40.56,0.23,8.45,3.6615,4422,1.09,2024-07-03T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-02,3801,132,43.09,0.33,11.34,3.4926,3155,1.2,2024-07-03T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-02,8691,179,84.81,0.47,9.76,2.0677,7904,1.1,2024-07-03T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-02,3948,138,36.61,0.27,9.27,3.504,3429,1.15,2024-07-03T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-03,6632,114,70.55,0.62,10.64,1.7278,5661,1.17,2024-07-04T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-03,6404,127,65.95,0.52,10.3,1.9899,5302,1.21,2024-07-04T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-03,3970,124,34.16,0.28,8.6,3.1393,2894,1.37,2024-07-04T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-03,3729,120,40.61,0.34,10.89,3.2267,3035,1.23,2024-07-04T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-03,7481,138,71.46,0.52,9.55,1.8484,5872,1.27,2024-07-04T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-03,3070,96,32.72,0.34,10.66,3.1374,2466,1.24,2024-07-04T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-04,8286,143,72.95,0.51,8.8,1.7369,7480,1.11,2024-07-05T00:00:00
